case_id,priority,province,city,target_platform,selection_stratum,evidence_status,collection_status,gadm_gid,capacity_prefecture_name,capacity_prefecture_name_chn,matched_cbdb_places,area_sqkm_approx,elite_persons,jinshi_persons,juren_persons,elite_per_1000_sqkm,jinshi_per_1000_sqkm,juren_per_1000_sqkm,elite_density_rank_desc,elite_density_percentile,historical_capacity_bin,historical_capacity_label,next_collection_priority
pilot_js_002,1,Jiangsu,Suzhou,苏州城市建设投资发展集团有限公司,high_capacity_coastal,documents_found,documents_found,CHN.15.7_1,Suzhou,苏州市,26,8458.861,2659,1924,1424,314.34,227.45,168.34,1,1.000,high,High historical elite density,already_documented
pilot_gd_001,1,Guangdong,Guangzhou,广州市城市建设投资集团有限公司,high_capacity_coastal,documents_found,documents_found,CHN.6.4_1,Guangzhou,广州市,13,7156.715,1524,611,1093,212.95,85.37,152.72,2,0.969,high,High historical elite density,already_documented
pilot_gd_001_alt_metro,1,Guangdong,Guangzhou,广州地铁集团有限公司,alternative_platform_candidate,documents_found,documents_found,CHN.6.4_1,Guangzhou,广州市,13,7156.715,1524,611,1093,212.95,85.37,152.72,2,0.969,high,High historical elite density,already_documented
pilot_zj_002,1,Zhejiang,Ningbo,,high_capacity_coastal,candidate_only,not_started,CHN.31.6_1,Ningbo,宁波市,21,8942.193,1760,1339,1025,196.82,149.74,114.63,3,0.938,high,High historical elite density,search_high_capacity_case
pilot_zj_001,1,Zhejiang,Hangzhou,杭州市城市建设投资集团有限公司,high_capacity_coastal,documents_found,documents_found,CHN.31.1_1,Hangzhou,杭州市,38,17088.894,2716,1618,1500,158.93,94.68,87.78,4,0.906,high,High historical elite density,already_documented
pilot_sd_001,1,Shandong,Jinan,,mixed_capacity_north,candidate_only,not_started,CHN.23.5_1,Jinan,济南市,18,8130.954,944,541,519,116.10,66.54,63.83,5,0.875,high,High historical elite density,search_high_capacity_case
expand_sd_jinan_chengjian,2,Shandong,Jinan,济南城市建设集团有限公司,mixed_capacity_north,documents_found,complete,CHN.23.5_1,Jinan,济南市,18,8130.954,944,541,519,116.10,66.54,63.83,5,0.875,high,High historical elite density,validated_same_city_second_platform
expand_fj_fuzhou_chengtou,2,Fujian,Fuzhou,福州城市建设投资集团有限公司,additional_coastal_capital,documents_found,complete,,,,,,,,,,,,,,low,Low historical elite density,validated_expansion_case_pending_capacity_merge
expand_xj_urumqi_chengtou,2,Xinjiang,Urumqi,乌鲁木齐城市建设投资(集团)有限公司,additional_western_capital,documents_found,complete,,,,,,,,,,,,,,low,Low historical elite density,validated_expansion_case_pending_capacity_merge
pilot_js_001,1,Jiangsu,Nanjing,,high_capacity_coastal,candidate_only,not_started,CHN.15.4_1,Nanjing,南京市,19,6588.198,669,447,348,101.55,67.85,52.82,6,0.844,high,High historical elite density,search_high_capacity_case
pilot_js_001_alt_metro,1,Jiangsu,Nanjing,南京地铁集团有限公司,alternative_platform_candidate,documents_found,documents_found,CHN.15.4_1,Nanjing,南京市,19,6588.198,669,447,348,101.55,67.85,52.82,6,0.844,high,High historical elite density,already_documented
pilot_gd_003,2,Guangdong,Foshan,,manufacturing_coastal,candidate_only,not_started,CHN.6.3_1,Foshan,佛山市,6,3892.144,392,278,186,100.72,71.43,47.79,7,0.812,high,High historical elite density,search_high_capacity_case
pilot_gz_001,1,Guizhou,Guiyang,,debt_pressure_inland,candidate_only,not_started,CHN.8.3_1,Guiyang,贵阳市,11,8057.853,654,279,401,81.16,34.62,49.77,8,0.781,high,High historical elite density,search_high_capacity_case
pilot_gz_001_alt_chengfa,1,Guizhou,Guiyang,贵阳市城市发展投资集团股份有限公司,alternative_platform_candidate,source_started,source_started,CHN.8.3_1,Guiyang,贵阳市,11,8057.853,654,279,401,81.16,34.62,49.77,8,0.781,high,High historical elite density,complete_started_source_collection
pilot_gz_001_alt_rail,1,Guizhou,Guiyang,贵阳市交通运营集团有限公司,alternative_platform_candidate,source_started,source_started,CHN.8.3_1,Guiyang,贵阳市,11,8057.853,654,279,401,81.16,34.62,49.77,8,0.781,high,High historical elite density,complete_started_source_collection
pilot_hn_001,1,Hunan,Changsha,,central_province_capital,candidate_only,not_started,CHN.14.2_1,Changsha,长沙市|長沙市,12,11792.438,941,293,693,79.80,24.85,58.77,9,0.750,high,High historical elite density,search_high_capacity_case
pilot_sc_001,1,Sichuan,Chengdu,成都城建投资管理集团有限责任公司,western_capital,source_started,source_started,CHN.26.2_1,Chengdu,成都市,40,10874.266,861,302,632,79.18,27.77,58.12,10,0.719,high,High historical elite density,complete_started_source_collection
pilot_sd_003,2,Shandong,Weifang,,mixed_capacity_north,candidate_only,not_started,CHN.23.13_1,Weifang,潍坊市,22,15718.947,1022,712,472,65.02,45.30,30.03,11,0.688,high,High historical elite density,search_high_capacity_case
pilot_sn_xian_hightech,1,Shaanxi,Xian,西安高新控股有限公司,external_validation_case,documents_found,documents_found,CHN.22.7_1,Xi'an,西安市,22,10194.044,536,440,226,52.58,43.16,22.17,12,0.656,middle,Middle historical elite density,already_documented
pilot_zj_004,2,Zhejiang,Jinhua,,within_province_variation,candidate_only,not_started,CHN.31.4_1,Jinhua,金华市,22,10934.315,485,375,243,44.36,34.30,22.22,13,0.625,middle,Middle historical elite density,search_middle_capacity_case
pilot_zj_003,2,Zhejiang,Wenzhou,,private_economy_coastal,candidate_only,not_started,CHN.31.10_1,Wenzhou,温州市,12,11424.895,345,181,234,30.20,15.84,20.48,14,0.594,middle,Middle historical elite density,search_middle_capacity_case
pilot_sc_004,2,Sichuan,Nanchong,,western_prefecture_variation,candidate_only,not_started,CHN.26.13_1,Nanchong,南充市,18,12590.053,358,203,234,28.44,16.12,18.59,15,0.562,middle,Middle historical elite density,search_middle_capacity_case
pilot_hn_003,2,Hunan,Yueyang,,central_prefecture_variation,candidate_only,not_started,CHN.14.12_1,Yueyang,岳阳市|岳陽市,12,14845.310,321,167,208,21.62,11.25,14.01,16,0.531,middle,Middle historical elite density,search_middle_capacity_case
pilot_yn_001,1,Yunnan,Kunming,,debt_pressure_inland,candidate_only,not_started,CHN.30.7_1,Kunming,昆明市,19,21067.763,437,314,148,20.74,14.90,7.02,17,0.500,middle,Middle historical elite density,search_middle_capacity_case
pilot_hn_004,2,Hunan,Hengyang,,central_prefecture_variation,candidate_only,not_started,CHN.14.4_1,Hengyang,衡阳市|衡陽市,11,15392.780,286,112,201,18.58,7.28,13.06,18,0.469,middle,Middle historical elite density,search_middle_capacity_case
pilot_sd_002,1,Shandong,Qingdao,青岛城市建设投资(集团)有限责任公司,coastal_municipal_economy,documents_found,documents_found,CHN.23.10_1,Qingdao,青岛市,9,10985.192,199,172,62,18.12,15.66,5.64,19,0.438,middle,Middle historical elite density,already_documented
pilot_yn_003,2,Yunnan,Yuxi,,inland_prefecture_variation,candidate_only,not_started,CHN.30.15_1,Yuxi,玉溪市,13,15024.937,245,83,165,16.31,5.52,10.98,20,0.406,middle,Middle historical elite density,search_middle_capacity_case
pilot_sc_002,1,Sichuan,Mianyang,,western_prefecture_variation,candidate_only,not_started,CHN.26.12_1,Mianyang,绵阳市,19,20214.990,268,82,217,13.26,4.06,10.73,21,0.375,middle,Middle historical elite density,search_middle_capacity_case
pilot_sd_004,2,Shandong,Linyi,,mixed_capacity_north,candidate_only,not_started,CHN.23.9_1,Linyi,临沂市,14,17151.769,214,126,115,12.48,7.35,6.70,22,0.344,middle,Middle historical elite density,search_middle_capacity_case
pilot_sc_003,2,Sichuan,Luzhou,泸州市兴泸投资集团有限公司,western_prefecture_variation,documents_found,documents_found,CHN.26.10_1,Luzhou,泸州市,12,12240.993,139,81,104,11.36,6.62,8.50,23,0.312,low,Low historical elite density,already_documented
pilot_hn_002,1,Hunan,Zhuzhou,株洲市国有资产投资控股集团有限公司,central_industrial_city,documents_found,documents_found,CHN.14.14_1,Zhuzhou,株洲市|株洲市,9,11310.860,104,76,56,9.19,6.72,4.95,24,0.281,low,Low historical elite density,already_documented
pilot_yn_004,2,Yunnan,Honghe,,inland_prefecture_variation,candidate_only,not_started,CHN.30.6_1,HongheHaniandYi,红河哈尼族彝族自治州,11,32277.138,254,136,124,7.87,4.21,3.84,25,0.250,low,Low historical elite density,search_low_capacity_case
pilot_gz_004,2,Guizhou,Bijie,,debt_pressure_inland,candidate_only,not_started,CHN.8.2_1,Bijie,毕节地区,6,26843.238,209,64,152,7.79,2.38,5.66,26,0.219,low,Low historical elite density,search_low_capacity_case
pilot_gz_002,1,Guizhou,Zunyi,遵义道桥建设集团有限公司,debt_pressure_inland,source_started,source_started,CHN.8.9_1,Zunyi,遵义市,12,30811.013,222,76,153,7.21,2.47,4.97,27,0.188,low,Low historical elite density,complete_started_source_collection
pilot_yn_002,1,Yunnan,Qujing,,inland_prefecture_variation,candidate_only,not_started,CHN.30.12_1,Qujing,曲靖市,13,28907.177,206,31,177,7.13,1.07,6.12,28,0.156,low,Low historical elite density,search_low_capacity_case
pilot_js_004,2,Jiangsu,Xuzhou,,within_province_variation,candidate_only,not_started,CHN.15.10_1,Xuzhou,徐州市,13,11229.972,62,37,41,5.52,3.29,3.65,29,0.125,low,Low historical elite density,search_low_capacity_case
pilot_gd_004,2,Guangdong,Zhanjiang,,within_province_variation,candidate_only,not_started,CHN.6.18_1,Zhanjiang,湛江市,8,12605.675,60,30,35,4.76,2.38,2.78,30,0.094,low,Low historical elite density,search_low_capacity_case
pilot_js_003,2,Jiangsu,Yancheng,,within_province_variation,candidate_only,not_started,CHN.15.11_1,Yancheng,盐城市,3,15378.447,34,28,10,2.21,1.82,0.65,31,0.062,low,Low historical elite density,search_low_capacity_case
pilot_gd_002,1,Guangdong,Shenzhen,深圳市特区建设发展集团有限公司,high_capacity_coastal,documents_found,documents_found,CHN.6.15_1,Shenzhen,深圳市,2,1921.959,2,1,2,1.04,0.52,1.04,32,0.031,low,Low historical elite density,already_documented
pilot_gz_003,2,Guizhou,Liupanshui,六盘水市开发投资有限公司,debt_pressure_inland,documents_found,documents_found,CHN.8.4_1,Liupanshui,六盘水市,4,9993.113,6,5,1,0.60,0.50,0.10,33,0.000,low,Low historical elite density,already_documented
expand_zj_yuyao_chengtou,3,Zhejiang,Yuyao,余姚市城市建设投资发展有限公司,additional_county_level_coastal,documents_found,complete,,,,,,,,,,,,,,,,validated_expansion_case_pending_capacity_merge
expand_js_taizhou_jindong,3,Jiangsu,Taizhou,泰州市金东城市建设投资集团有限公司,additional_prefecture_case,documents_found,complete,,,,,,,,,,,,,,,,validated_expansion_case_pending_capacity_merge
expand_hlj_harbin_chengtou,3,Heilongjiang,Harbin,哈尔滨市城市建设投资集团有限公司,additional_northeast_capital,documents_found,complete,,,,,,,,,,,,,,,,validated_expansion_case_pending_capacity_merge
expand_hb_xiaogan_chengtou,3,Hubei,Xiaogan,孝感市城市建设投资公司,additional_central_prefecture,documents_found,complete,,,,,,,,,,,,,,,,validated_expansion_case_pending_capacity_merge
expand_tj_jinghai_chengtou,3,Tianjin,Jinghai,天津市静海城市基础设施建设投资集团有限公司,additional_tianjin_district_debt_pressure,documents_found,complete,,,,,,,,,,,,,,,,validated_expansion_case_pending_capacity_merge
expand_jx_zhanggong_jiantou,3,Jiangxi,Ganzhou Zhanggong,赣州市章贡区建设投资集团有限公司,additional_central_core_district,documents_found,complete,,,,,,,,,,,,,,,,validated_expansion_case_pending_capacity_merge
expand_zj_wenling_guotou,3,Zhejiang,Wenling,温岭市国有资产投资集团有限公司,additional_county_level_coastal_functional_transfer,documents_found,complete,,,,,,,,,,,,,,,,validated_expansion_case_pending_capacity_merge
expand_js_yixing_chengfa,3,Jiangsu,Yixing,宜兴市城市发展投资有限公司,additional_county_level_jiangsu_functional_transfer,documents_found,complete,,,,,,,,,,,,,,,,validated_expansion_case_pending_capacity_merge
expand_fj_fuzhou_guozi,3,Fujian,Fuzhou,福州国有资本投资运营集团有限公司,additional_capital_operation_transformation,documents_found,complete,,,,,,,,,,,,,,low,Low historical elite density,validated_expansion_case_pending_capacity_merge
