case_id,case_pool_status,validation_status,validation_tier,sampling_frame,selection_stratum,oversample_low_capacity,oversample_high_debt,province,city,prefecture_name,prefecture_name_chn,platform,company_name,unified_social_credit_code,gadm_gid,source_doc_ids,source_doc_count,source_doc_types,source_ids,source_coverage_score,formal_event_year,formal_event,formal_event_source_doc,continued_function,continued_function_source_doc,continued_function_evidence_score,exit_type,confidence,alternative_label,ambiguity_note,caveat,historical_capacity_bin,historical_capacity_label,elite_density_percentile,elite_per_1000_sqkm,jinshi_per_1000_sqkm,juren_per_1000_sqkm,debt_pressure_value,debt_pressure_year,debt_pressure_bin,debt_pressure_source,debt_pressure_status,land_finance_dependence_value,land_finance_dependence_year,land_finance_dependence_bin,land_finance_dependence_source,land_finance_dependence_status,llm_label,llm_confidence,llm_model,human_reviewer,validation_date,notes
pilot_js_002,human_validated,human_validated,gold_standard,pilot_expansion,high_capacity_coastal,0,0,Jiangsu,Suzhou,Suzhou,苏州市,苏州城市建设投资发展集团有限公司,苏州城市建设投资发展集团有限公司,,CHN.15.7_1,doc_js_sz_chengtou_2026_mtn1_001;doc_js_sz_chengtou_2026_mtn1_002;doc_js_sz_chengtou_2026_mtn1_003;doc_js_sz_chengtou_2026_mtn1_004;doc_js_sz_chengtou_2026_mtn1_005;doc_js_sz_chengtou_2026_mtn1_006;doc_js_sz_chengtou_2026_mtn1_007;doc_js_sz_chengtou_2026_mtn1_008;doc_js_sz_chengtou_2026_mtn1_009;doc_js_sz_chengtou_2026_mtn1_010;doc_js_sz_chengtou_2026_mtn1_011,11,financial_report;commitment_letter;issuance_plan;financial_statement;legal_opinion;prospectus,src_js_sz_002,4,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,doc_js_sz_chengtou_2026_mtn1_009,"Formal no-government-financing language coexists with continuing evidence that the same issuer remains Suzhou's main urban infrastructure and public-utility investment construction and operation body, is described as responsible for project funding and debt repayment, and holds delegated-project accounts, fiscal special funds, and government-directed stakes in new-town and logistics projects.",doc_js_sz_chengtou_2026_mtn1_009;doc_js_sz_chengtou_2026_mtn1_006,,nominal_exit,medium,substantive_exit,"The legal opinion states that the issuer has no PPP BT government purchase service project repurchase government-project advance-financing or land-reserve functions, so the case may also be read as formal fiscal substitution rather than continuing off-budget financing.",The current packet relies on issuer and legal-opinion disclosures from the same 2026 issuance page rather than an independent government or regulator exit-list document.,high,High historical elite density,1.000,314.34,227.45,168.34,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New validated case added in the June 30 expansion; strongest high historical-capacity nominal-exit contrast against Ningbo substantive exit and Guangzhou fiscal substitution.
pilot_gd_001,human_validated,human_validated,gold_standard,pilot_expansion,high_capacity_coastal,0,0,Guangdong,Guangzhou,Guangzhou,广州市,广州市城市建设投资集团有限公司,广州市城市建设投资集团有限公司,,CHN.6.4_1,doc_gd_gz_chengtou_2026_mtn4_004;doc_gd_gz_chengtou_2018_tracking_rating;doc_gd_gz_chengtou_2018_swap_plan;doc_gd_gz_chengtou_2018_swap_special,4,prospectus;rating_report;company_announcement,src_gd_gz_004;src_gd_gz_005;src_gd_gz_006;src_gd_gz_007,4,2014,Issuer and rating disclosures state that since 2014 the company no longer participated in new government-project investment-financing and shifted to fiscal-funded entrusted project management.,doc_gd_gz_chengtou_2026_mtn4_004,The company moved away from new government-project investment-financing toward budget-funded project management; old and current disclosures both state the post-2014 entrusted-management model and the 2018 announcement shows part of the 2014 MTN being recognized as government-repayment-responsibility debt and included in the fiscal budget for replacement.,doc_gd_gz_chengtou_2018_tracking_rating;doc_gd_gz_chengtou_2018_swap_plan,,substantive_exit,medium,nominal_exit,The company still performs public infrastructure and project-management functions and holds large public-welfare assets so the label depends on distinguishing budgetary project management from off-budget government financing.,This is a fiscal-substitution case rather than an exit-list case; final confidence should be raised only after collecting the original Guangzhou 2008 reform document or additional 2014 issuance materials.,high,High historical elite density,0.969,212.95,85.37,152.72,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao,2026-06-20,Use as second human-validated pilot label and contrast case against Xi'an Hi-tech.
pilot_gd_001_alt_metro,llm_candidate_ready,not_validated,documented_candidate,pilot_expansion,alternative_platform_candidate,0,0,Guangdong,Guangzhou,Guangzhou,广州市,广州地铁集团有限公司,广州地铁集团有限公司,,CHN.6.4_1,doc_gd_gz_metro_2025_mtn_001;doc_gd_gz_metro_2025_mtn_002;doc_gd_gz_metro_2025_mtn_003;doc_gd_gz_metro_2025_mtn_004;doc_gd_gz_metro_2025_mtn_005;doc_gd_gz_metro_2025_mtn_006;doc_gd_gz_metro_2025_mtn_007;doc_gd_gz_metro_2025_mtn_008;doc_gd_gz_metro_2025_mtn_009;doc_gd_gz_metro_2025_mtn_010,10,prospectus;financial_report;legal_opinion;financial_statement;rating_report;issuance_plan,src_gd_gz_003,,,,doc_gd_gz_metro_2025_mtn_001;doc_gd_gz_metro_2025_mtn_002;doc_gd_gz_metro_2025_mtn_003;doc_gd_gz_metro_2025_mtn_004;doc_gd_gz_metro_2025_mtn_005;doc_gd_gz_metro_2025_mtn_006;doc_gd_gz_metro_2025_mtn_007;doc_gd_gz_metro_2025_mtn_008;doc_gd_gz_metro_2025_mtn_009;doc_gd_gz_metro_2025_mtn_010,,doc_gd_gz_metro_2025_mtn_001;doc_gd_gz_metro_2025_mtn_002;doc_gd_gz_metro_2025_mtn_003;doc_gd_gz_metro_2025_mtn_004;doc_gd_gz_metro_2025_mtn_005;doc_gd_gz_metro_2025_mtn_006;doc_gd_gz_metro_2025_mtn_007;doc_gd_gz_metro_2025_mtn_008;doc_gd_gz_metro_2025_mtn_009;doc_gd_gz_metro_2025_mtn_010,,,,,,,high,High historical elite density,0.969,212.95,85.37,152.72,,,,,not_collected,,,,,not_collected,,,,,,
pilot_zj_002,human_validated,human_validated,gold_standard,pilot_expansion,high_capacity_coastal,0,0,Zhejiang,Ningbo,Ningbo,宁波市,宁波开发投资集团有限公司,宁波开发投资集团有限公司,,CHN.31.6_1,doc_zj_nb_kaitou_2026_mtn4_prospectus,1,prospectus,src_zj_nb_001,3,2015,Issuer prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same compliance section reports no PPP government investment fund BT repurchase land preparation government purchase service or advance financing for government projects.,doc_zj_nb_kaitou_2026_mtn4_prospectus,The no-government-financing statement is paired with unusually strong negative evidence on core platform functions: no PPP government investment fund BT project repurchase land-preparation business government purchase service or government-project advance financing. The case is therefore coded as substantive exit rather than nominal exit.,doc_zj_nb_kaitou_2026_mtn4_prospectus,,substantive_exit,medium,nominal_exit,"The current source is an issuer prospectus rather than a separately collected government exit-list document. A small receivable from a demolition office is disclosed as having an engineering background, so it should be monitored in later validation.",Confidence should rise only if an independent Ningbo or regulator source confirms the platform-list status.,high,High historical elite density,0.938,196.82,149.74,114.63,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-28,New validated case added in the June 28 expansion; useful as a high historical-capacity substantive-exit case.
pilot_zj_001,human_validated,human_validated,gold_standard,pilot_expansion,high_capacity_coastal,0,0,Zhejiang,Hangzhou,Hangzhou,杭州市,杭州市城市建设投资集团有限公司,杭州市城市建设投资集团有限公司,,CHN.31.1_1,doc_zj_hz_chengtou_2024_mtn1_prospectus;doc_zj_hz_chengtou_2024_rating,2,prospectus;rating_report,src_zj_hz_001,4,2022,Issuer disclosures state that Hangzhou City Investment and Qiantou Group were integrated into a new city-investment group and that Anju Group was created as a housing-security investment construction and operation platform.,doc_zj_hz_chengtou_2024_mtn1_prospectus,Local public investment and project functions did not disappear but were consolidated into an enlarged Hangzhou City Investment system through Qiantou Group equity transfer Qiantou debt succession and the creation of Anju Group; rating evidence shows continuing infrastructure public-utility代建 land-development and PPP functions.,doc_zj_hz_chengtou_2024_rating,,functional_transfer,medium,substantive_exit,Some代建 activity is described as management-fee based and not direct financing but the larger pattern is consolidation of public project and debt functions rather than disappearance of those functions.,This is best interpreted as functional consolidation within the functional-transfer family; confidence should be raised only after collecting the underlying Hangzhou SASAC reorganization approvals and Qiantou debt-succession announcements.,high,High historical elite density,0.906,158.93,94.68,87.78,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao,2026-06-20,Use as third human-validated pilot label to complete initial contrast among nominal exit substantive exit and functional transfer.
pilot_sd_001,human_validated,human_validated,gold_standard,pilot_expansion,mixed_capacity_north,0,0,Shandong,Jinan,Jinan,济南市,济南城市投资集团有限公司,济南城市投资集团有限公司,,CHN.23.5_1,doc_sd_jn_chengtou_2025_mtn1_prospectus,1,prospectus,src_sd_jn_001,4,2015,Prospectus states that the issuer does not undertake government financing functions after 2015 and is not in the banking-regulator financing-platform list.,doc_sd_jn_chengtou_2025_mtn1_prospectus,No-government-financing and non-platform-list language coexists with land development and preparation infrastructure construction affordable-housing work government委托 authorization fiscal compensation and large historical entrusted-construction assets with unresolved government repayment coordination.,doc_sd_jn_chengtou_2025_mtn1_prospectus,,nominal_exit,medium,functional_transfer,"The document emphasizes legality and non-hidden-debt status, so the case can also be interpreted as formal fiscal substitution.",The non-platform-list claim is as of issuer disclosure; an original list document has not been collected.,high,High historical elite density,0.875,116.10,66.54,63.83,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-28,New high historical-capacity validated case with nominal-exit features.
expand_sd_jinan_chengjian,human_validated,human_validated,gold_standard,pilot_expansion,mixed_capacity_north,0,0,Shandong,Jinan,Jinan,济南市,济南城市建设集团有限公司,济南城市建设集团有限公司,,CHN.23.5_1,doc_sd_jn_chengjian_2026_scp4_001;doc_sd_jn_chengjian_2026_scp4_002;doc_sd_jn_chengjian_2026_scp4_003;doc_sd_jn_chengjian_2026_scp4_004;doc_sd_jn_chengjian_2026_scp4_005;doc_sd_jn_chengjian_2026_scp4_006;doc_sd_jn_chengjian_2026_scp4_007;doc_sd_jn_chengjian_2026_scp4_008;doc_sd_jn_chengjian_2026_scp4_009,9,issuance_plan;issuer_commitment;financial_report;legal_opinion;financial_statement;prospectus;bookrunner_commitment,src_sd_jn_chengjian_001,4,2015,Prospectus states that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same compliance section reports that the statement was confirmed with the Jinan Finance Bureau.,doc_sd_jn_chengjian_2026_scp4_007,"Formal no-government-financing language coexists with continuing engineering construction, land preparation, and delegated infrastructure-construction functions. The issuer discloses PPP and BT or entrusted-construction arrangements, a historical project placed under hidden-debt management and resolved, government receivables, land injected by public authorities, and current Jinan Start-up Area infrastructure projects operated through entrusted construction and settlement with public-sector counterparties.",doc_sd_jn_chengjian_2026_scp4_007,,nominal_exit,medium,functional_transfer,"Many continuing functions are presented as legal fiscal-settlement or marketized construction businesses, so the case is close to formal fiscal substitution rather than unreformed platform borrowing.",No independent regulator or local government platform-list exit document has been collected. The label relies on issuer prospectus compliance language and should remain medium confidence until a list-level exit source is found.,high,High historical elite density,0.875,116.10,66.54,63.83,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New same-city second-platform validated case for Jinan; useful for checking whether city-level capacity predicts platform-level institutional fate consistently.
expand_fj_fuzhou_chengtou,human_validated,human_validated,gold_standard,pilot_expansion,additional_coastal_capital,1,0,Fujian,Fuzhou,,,福州城市建设投资集团有限公司,福州城市建设投资集团有限公司,,,doc_fj_fz_chengtou_2026_scp2_001;doc_fj_fz_chengtou_2026_scp2_002;doc_fj_fz_chengtou_2026_scp2_003;doc_fj_fz_chengtou_2026_scp2_004;doc_fj_fz_chengtou_2026_scp2_005;doc_fj_fz_chengtou_2026_scp2_006;doc_fj_fz_chengtou_2026_scp2_007;doc_fj_fz_chengtou_2026_scp2_008;doc_fj_fz_chengtou_2026_scp2_009;doc_fj_fz_chengtou_2026_scp2_010,10,legal_opinion;financial_report;issuance_plan;prospectus;bookrunner_commitment;issuer_commitment;financial_statement;rating_report,src_fj_fz_chengtou_001,4,2015,Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,doc_fj_fz_chengtou_2026_scp2_005,"Formal no-government-financing language coexists with a major reorganization of public-project finance. The issuer remains a leading Fuzhou infrastructure, shantytown-renovation, affordable-housing, municipal代建, and area-development platform, but the prospectus documents that after 2011 municipal project funding shifted from issuer financing with fiscal repayment to full fiscal appropriation and management-fee settlement. PPP projects, government-purchase-service projects that were later adjusted, fiscal subsidies, government receivables, and rating evidence of continuing fiscal support all point to functional transfer rather than substantive disappearance.",doc_fj_fz_chengtou_2026_scp2_005;doc_fj_fz_chengtou_2026_scp2_009,,functional_transfer,medium,nominal_exit,"Because the same legal issuer continues to carry many public development tasks, a narrower reading would code the case as nominal exit. The functional-transfer label rests on the documented shift in project financing and settlement rules rather than on the disappearance of the function.",No independent platform-list exit document has been collected. Historical-capacity metrics for this added Fuzhou target still need to be merged into the candidate capacity file.,low,Low historical elite density,,,,,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-30,New Fujian provincial-capital validated case; useful as a formal fiscal-substitution contrast to nominal-exit cases.
pilot_js_001,candidate_not_started,not_validated,source_only_candidate,pilot_expansion,high_capacity_coastal,0,0,Jiangsu,Nanjing,Nanjing,南京市,,,,CHN.15.4_1,,0,,,,,,,,,,,,,,,high,High historical elite density,0.844,101.55,67.85,52.82,,,,,not_collected,,,,,not_collected,,,,,,
pilot_js_001_alt_metro,llm_candidate_ready,not_validated,documented_candidate,pilot_expansion,alternative_platform_candidate,0,0,Jiangsu,Nanjing,Nanjing,南京市,南京地铁集团有限公司,南京地铁集团有限公司,,CHN.15.4_1,doc_js_nj_metro_2025_mtn2_001;doc_js_nj_metro_2025_mtn2_002;doc_js_nj_metro_2025_mtn2_003;doc_js_nj_metro_2025_mtn2_004;doc_js_nj_metro_2025_mtn2_005;doc_js_nj_metro_2025_mtn2_006;doc_js_nj_metro_2025_mtn2_007,7,financial_report;legal_opinion;issuance_plan;prospectus;financial_statement,src_js_nj_002,,,,doc_js_nj_metro_2025_mtn2_001;doc_js_nj_metro_2025_mtn2_002;doc_js_nj_metro_2025_mtn2_003;doc_js_nj_metro_2025_mtn2_004;doc_js_nj_metro_2025_mtn2_005;doc_js_nj_metro_2025_mtn2_006;doc_js_nj_metro_2025_mtn2_007,,doc_js_nj_metro_2025_mtn2_001;doc_js_nj_metro_2025_mtn2_002;doc_js_nj_metro_2025_mtn2_003;doc_js_nj_metro_2025_mtn2_004;doc_js_nj_metro_2025_mtn2_005;doc_js_nj_metro_2025_mtn2_006;doc_js_nj_metro_2025_mtn2_007,,,,,,,high,High historical elite density,0.844,101.55,67.85,52.82,,,,,not_collected,,,,,not_collected,,,,,,
pilot_gd_003,human_validated,human_validated,gold_standard,pilot_expansion,manufacturing_coastal,0,0,Guangdong,Foshan,Foshan,佛山市,佛山市建设发展集团有限公司,佛山市建设发展集团有限公司,,CHN.6.3_1,doc_gd_fs_jiantou_2025_mtn_prospectus,1,prospectus,src_gd_fs_001,4,2018,Prospectus states that the issuer was not in the CBIRC local financing platform directory as of December 31 2018 while it also documents fiscal-settlement entrusted-construction projects and land-development functions.,doc_gd_fs_jiantou_2025_mtn_prospectus,"The issuer is formally outside the financing-platform list and denies government purchase service or advance financing, but it continues land development and preparation under SASAC委托 and has fiscally settled entrusted-construction projects. This is best treated as functional transfer/formalization of public project tasks rather than a pure substantive exit.",doc_gd_fs_jiantou_2025_mtn_prospectus,,functional_transfer,medium,nominal_exit,"Because the issuer is outside the 2018 list rather than shown leaving it, this is not a clean formal-exit event. The continued functions are structured through SASAC-owned land and contract settlement.",Use as a high-capacity formalization case unless direct former-platform evidence is found.,high,High historical elite density,0.812,100.72,71.43,47.79,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao / Codex-assisted review,2026-06-28,New validated case added in the June 28 expansion; useful for high-capacity functional transfer.
pilot_gz_001,candidate_not_started,not_validated,source_only_candidate,pilot_expansion,debt_pressure_inland,0,1,Guizhou,Guiyang,Guiyang,贵阳市,,,,CHN.8.3_1,,0,,,,,,,,,,,,,,,high,High historical elite density,0.781,81.16,34.62,49.77,,,,,targeted_for_collection,,,,,not_collected,,,,,,
pilot_gz_001_alt_chengfa,source_started,not_validated,source_started,pilot_expansion,alternative_platform_candidate,0,0,Guizhou,Guiyang,Guiyang,贵阳市,贵阳市城市发展投资集团股份有限公司,贵阳市城市发展投资集团股份有限公司,,CHN.8.3_1,,0,,,,,,,,,,,,,,,high,High historical elite density,0.781,81.16,34.62,49.77,,,,,not_collected,,,,,not_collected,,,,,,
pilot_gz_001_alt_rail,source_started,not_validated,source_started,pilot_expansion,alternative_platform_candidate,0,0,Guizhou,Guiyang,Guiyang,贵阳市,贵阳市交通运营集团有限公司,贵阳市交通运营集团有限公司,,CHN.8.3_1,,0,,,,,,,,,,,,,,,high,High historical elite density,0.781,81.16,34.62,49.77,,,,,not_collected,,,,,not_collected,,,,,,
pilot_hn_001,candidate_not_started,not_validated,source_only_candidate,pilot_expansion,central_province_capital,0,0,Hunan,Changsha,Changsha,长沙市|長沙市,,,,CHN.14.2_1,,0,,,,,,,,,,,,,,,high,High historical elite density,0.750,79.80,24.85,58.77,,,,,not_collected,,,,,not_collected,,,,,,
pilot_sc_001,human_validated,human_validated,gold_standard,pilot_expansion,western_capital,0,0,Sichuan,Chengdu,Chengdu,成都市,成都城建投资管理集团有限责任公司,成都城建投资管理集团有限责任公司,,CHN.26.2_1,doc_sc_cd_chengtou_2023_mtn3_prospectus,1,prospectus,src_sc_cd_002,3,2015,Issuer prospectus states that the company does not undertake government financing functions and that new debt after 2015 does not legally constitute local government debt.,doc_sc_cd_chengtou_2023_mtn3_prospectus,Formal no-government-financing language coexists with continuing evidence that the same issuer remains inside Chengdu infrastructure investment financing fiscal-payment and local-debt-replacement chains.,doc_sc_cd_chengtou_2023_mtn3_prospectus,,nominal_exit,medium,substantive_exit,The document repeatedly asserts legal compliance and no new hidden debt but it also describes self-funded and financed infrastructure construction fiscal payment arrangements and government-bond pass-through debt.,No independent government exit-list document has been collected; the official event is currently based on issuer prospectus compliance language rather than a separate exit-list announcement.,high,High historical elite density,0.719,79.18,27.77,58.12,,,,,not_collected,,,,,not_collected,,,,Shunyu Hao,2026-06-22,Use as fourth human-validated pilot label and as a second nominal-exit case with stronger fiscal-compliance language than Xi'an.
