case_id,city,primary_source,primary_source_short,formal_event,post_event_function,final_label
pilot_js_002,Suzhou,doc_js_sz_chengtou_2026_mtn1_009 lines 868-886;916-919;4792-4820,"2026 MTN disclosure, lines 868-886;916-919;4792-4820",2015 no-government-financing and no-new-hidden-debt language,main urban infrastructure and public-utility investment construction operation body with project funding and debt repayment responsibilities,Nominal exit
expand_fj_fuzhou_chengtou,Fuzhou,doc_fj_fz_chengtou_2026_scp2_005 lines 1055-1059;1167-1170;1218-1220,"2026 SCP disclosure, lines 1055-1059;1167-1170;1218-1220",Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt.,"Formal no-government-financing language coexists with a major reorganization of public-project finance. The issuer remains a leading Fuzhou infrastructure, shantytown-renovation, affordable-housing, municipal代建, and area-development platform, but the prospectus documents that after 2011 municipal project funding shifted from issuer financing with fiscal repayment to full fiscal appropriation and management-fee settlement. PPP projects, government-purchase-service projects that were later adjusted, fiscal subsidies, government receivables, and rating evidence of continuing fiscal support all point to functional transfer rather than substantive disappearance.",Functional transfer
expand_fj_fuzhou_guozi,Fuzhou,doc_fj_fz_guozi_2026_scp1_006 lines 139-145;162-173;203-211;535-540,"2026 SCP disclosure, lines 139-145;162-173;203-211;535-540","Legal opinion reports that Fuzhou SASAC approved the company name change from Fuzhou State-Owned Assets Investment Development Group to Fuzhou State Capital Investment and Operation Group in January 2022 and changed its business scope from urban infrastructure, area development, utilities, strategic-industry development, and real estate to headquarters management, own-fund investment, venture investment, and consulting.","The same legal issuer was converted from a development-oriented state-owned assets investment group into a state-capital investment and operation platform. Direct urban infrastructure and area-development language disappeared from the issuer business scope, while municipal infrastructure functions continued through equity stakes in Fuzhou Chengtou, Fuzhou Zuohai, and other city platforms and through the Mindu infrastructure fund. This is a transfer into portfolio and fund channels rather than substantive disappearance.",Functional transfer
pilot_gd_001,Guangzhou,doc_gd_gz_chengtou_2026_mtn4_004 lines 927-931;6537-6548;6756-6761,"2026 MTN disclosure, lines 927-931;6537-6548;6756-6761",2014 shift away from new government-project investment-financing,budget-funded project management and city construction functions remained,Substantive exit
pilot_zj_002,Ningbo,doc_zj_nb_kaitou_2026_mtn4_prospectus lines 927-932,"2026 prospectus, lines 927-932",2015 no-government-financing language and explicit absence of core platform businesses,No major continuing platform function found in the prospectus; residual engineering receivable disclosed as non-financing background,Substantive exit
pilot_zj_001,Hangzhou,doc_zj_hz_chengtou_2024_mtn1_prospectus lines 1188-1192;222-228;272-288,"2024 prospectus, lines 1188-1192;222-228;272-288",2022 reorganization through Qiantou equity transfer and Anju creation,public project and debt functions continued inside enlarged city investment system,Functional transfer
expand_js_zhenjiang_industry,Zhenjiang,doc_js_zhenjiang_industry_2026_cp3_003 lines 138-145;366-380;397-400;642-645;650-668;953-980;996-1022;1140-1173,"2026 source document, lines 138-145;366-380;397-400;642-645;650-668;953-980;996-1022;1140-1173","Zhenjiang municipal government issued the 2023 notice establishing Zhenjiang Industrial Investment Holding Group through the reorganization of Zhenjiang Guotou Real Estate Development, the transfer of Zhenjiang State-Owned Investment Holding Group and a 55 percent stake in Zhenjiang Transportation Industry Group, and related asset stripping and injection.","The 2023 restructuring created an industrial-investment holding group and contains formal government-financing-function stripping language. But the same group system continues to show traffic infrastructure construction, land整理, fiscal-payment arrangements, government-linked receivables, and repurchase-payment risk. The corporate label changed more clearly than the quasi-fiscal development function, so this is coded as nominal exit.",Nominal exit
pilot_sd_001,Jinan,doc_sd_jn_chengtou_2025_mtn1_prospectus lines 1193-1199;4572-4573,"2025 prospectus, lines 1193-1199;4572-4573",2015 no-government-financing language and not in banking-regulator platform list,land preparation government authorization infrastructure保障房 fiscal compensation and historical委托代建 assets,Nominal exit
expand_sd_jinan_chengjian,Jinan,doc_sd_jn_chengjian_2026_scp4_007 lines 954-960;1062-1068,"2026 SCP disclosure, lines 954-960;1062-1068",Prospectus states that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same compliance section reports that the statement was confirmed with the Jinan Finance Bureau.,"Formal no-government-financing language coexists with continuing engineering construction, land preparation, and delegated infrastructure-construction functions. The issuer discloses PPP and BT or entrusted-construction arrangements, a historical project placed under hidden-debt management and resolved, government receivables, land injected by public authorities, and current Jinan Start-up Area infrastructure projects operated through entrusted construction and settlement with public-sector counterparties.",Nominal exit
pilot_gd_003,Foshan,doc_gd_fs_jiantou_2025_mtn_prospectus lines 5102-5105;5137-5140,"2025 prospectus, lines 5102-5105;5137-5140",Not in CBIRC local financing platform directory as of 2018,SASAC-entrusted land preparation and fiscally settled entrusted-construction projects,Functional transfer
pilot_sc_001,Chengdu,doc_sc_cd_chengtou_2023_mtn3_prospectus lines 1662-1670;4884-4892;4902-4916,"2023 prospectus, lines 1662-1670;4884-4892;4902-4916",2015 no-government-financing language,continued infrastructure investment financing and fiscal-payment chains,Nominal exit
expand_jx_fuzhou_guozi,Fuzhou,doc_jx_fuzhou_guozi_2026_cp1_006 lines 17-18;1135-1136;1141-1158;1165;5065-5073,"2026 source document, lines 17-18;1135-1136;1141-1158;1165;5065-5073","Prospectus disclosures state that the enterprise has stripped government financing functions, transformed into a marketized self-operating entity, and does not undertake government financing functions after January 1 2015.","Formal stripping and marketized-transformation language coexists with continuing infrastructure construction, affordable-housing and shantytown projects, government purchase service, PPP projects, government buyback, fiscal payment, finance-bureau receivables, land-related legacy activity, and infrastructure subsidies. The issuer remains the city's core public-development vehicle, so the case is coded as nominal exit.",Nominal exit
expand_jx_jian_chengtou,Ji'an,doc_jx_jian_chengtou_2026_cp1_002 lines 500-530;653-683;692-699;720-728;1049;1077-1078,"2026 source document, lines 500-530;653-683;692-699;720-728;1049;1077-1078",Legal opinion states that the Ji'an government has stripped the issuer's government financing functions and that the issuer does not borrow for local government or other entities; issue proceeds will not increase government or hidden debt and will not be directly repaid by fiscal funds.,"The formal stripping of government financing functions coexists with land consolidation, infrastructure construction, affordable housing, entrusted construction, finance-bureau receivables, fiscal settlement, and government subsidies. These functions remain attached to the same issuer rather than disappearing institutionally, so the case is coded as nominal exit.",Nominal exit
pilot_sn_xian_hightech,Xi'an,doc_sn_xa_hightech_2026_mtn6_006 lines 774-783;656-663;724-728,"2026 MTN disclosure, lines 774-783;656-663;724-728",2012 issuer-disclosed platform-list exit,continued BT entrusted construction infrastructure and repurchase by management committee,Nominal exit
expand_js_taizhou_jindong,Taizhou,doc_js_tz_jindong_2026_mtn1_002 lines 857-862;1164-1190;3148-3160,"2026 MTN disclosure, lines 857-862;1164-1190;3148-3160",Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; the same disclosure says the issuance will not add local-government or hidden debt.,"Formal no-government-financing language coexists with a documented reorganization of public-project finance. Beginning in 2018, Xingdu Asset Management became the management and settlement node for land preparation and municipal construction projects, while the issuer continued to handle capital input, construction, land acquisition, demolition, and project procedures under entrusted-construction agreements. The issuer also remains the key infrastructure and state-asset platform in Jiangyan District.",Functional transfer
expand_js_taizhou_chengtou,Taizhou,doc_js_taizhou_chengtou_2026_scp5_007 lines 5114-5115;5196-5204;5243;5254;5270;5697-5698;6957-6961;7007;7061;7171-7172;9739-9740;9756-9757;9767;10130;10184,"2026 SCP disclosure, lines 5114-5115;5196-5204;5243;5254;5270;5697-5698;6957-6961;7007;7061;7171-7172;9739-9740;9756-9757;9767;10130;10184","Legal opinion describes the issuer as moving from a government financing platform toward a city-industry investment operator, while also stating that the issue will not increase government or hidden debt or be directly repaid by fiscal funds.","Formal transformation from government financing platform to city-industry investment operator coexists with continuing municipal infrastructure, shantytown and resettlement construction, finance-bureau receivables, infrastructure project inventory, government subsidies, and delegated public-project functions.",Nominal exit
expand_jx_shangrao_chengtou,Shangrao,doc_jx_shangrao_chengtou_2026_cp1_007 lines 1083-1086;1195-1198;1212-1219;1225-1226;1238-1242;2988-2989;3143-3159;3182-3191,"2026 source document, lines 1083-1086;1195-1198;1212-1219;1225-1226;1238-1242;2988-2989;3143-3159;3182-3191",Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions after January 1 2015 and that the issue will not increase government or hidden debt.,"Formal no-government-financing language coexists with continuing infrastructure construction, shantytown redevelopment, resettlement housing, land preparation, entrusted construction, government purchase service, fiscal-budget repayment, and finance-bureau receivables. The issuer remains the largest local infrastructure and land-preparation unit, so the case is coded as nominal exit.",Nominal exit
sch_20260630_0055,Shangrao,doc_sch_20260630_0055_001 lines 6541-6561;6585-6608;6692-6848;6888-6904;6923-6943;7362-7364;7411-7413;7491-7522;7644-7652;12390-12394;13870-13902,"0055 source document, lines 6541-6561;6585-6608;6692-6848;6888-6904;6923-6943;7362-7364;7411-7413;7491-7522;7644-7652;12390-12394;13870-13902",Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; the local state acts only as shareholder with limited liability.,"Formal no-government-financing and no-local-government-debt language coexists with continuing development-zone infrastructure construction, entrusted construction, PPP projects, government purchase service, fiscal budget payments, government receivables, and recurring government subsidies. Official compliance therefore does not amount to functional exit.",Nominal exit
expand_hb_xiaogan_chengtou,Xiaogan,doc_hb_xg_chengtou_2026_mtn2_004 lines 1147-1148;1248-1259;2168-2185,"2026 MTN disclosure, lines 1147-1148;1248-1259;2168-2185",Prospectus and legal opinion state that the company does not undertake government financing functions and that new debt after January 1 2015 is not local government debt; Xiaogan Finance Bureau confirmation is reported in the compliance section.,"The documents state that the issuer no longer undertakes government financing and that, after 2018, project funds mainly come from fiscal-budget special appropriations, own funds, and state-asset operating income. At the same time, the issuer keeps project-management, entrusted-construction, and government-linked receivable functions, making this a functional-transfer case rather than pure substantive exit.",Functional transfer
expand_sd_dezhou_deda,Dezhou,doc_sd_dezhou_deda_2026_cp1_001 lines 812-817;1439-1457,"2026 source document, lines 812-817;1439-1457",Legal opinion states that Dezhou CBRC approved the company's platform loans for rectification into general-company loans in December 2016 and that a Dezhou government announcement said the company no longer undertook local-government debt-financing functions.,"Direct formal-exit and no-government-financing evidence coexists with continuing city-development, land-development, infrastructure construction, delegated construction, PPP-linked receivables, government debt replacement, and fiscal-settlement mechanisms. The same issuer remains tied to public project construction and government repayment channels, so the exit is coded as nominal exit.",Nominal exit
expand_jx_jingdezhen_chengtou,Jingdezhen,doc_jx_jingdezhen_chengtou_2026_cp1_006 lines 1056-1057;1195-1196;4282-4283;163-164;595-599;1089-1106;2100-2103;2586-2600;2615-2664;2819-2849,"2026 source document, lines 1056-1057;1195-1196;4282-4283;163-164;595-599;1089-1106;2100-2103;2586-2600;2615-2664;2819-2849",Prospectus disclosures state that the company does not undertake government financing functions after January 1 2015 and that government financing and land-reserve functions have been stripped.,"Formal stripping of government financing and land-reserve functions coexists with continuing infrastructure construction, shantytown renovation, resettlement housing, land preparation, entrusted construction, government purchase service, fiscal settlement, government receivables, and subsidy evidence. The same issuer continues core public-development functions, so the exit is coded as nominal exit.",Nominal exit
pilot_zj_003,Wenzhou,doc_zj_wz_mingcheng_2026_mtn2_prospectus lines 1054-1055;3239-3242;5606-5608,"2026 prospectus, lines 1054-1055;3239-3242;5606-5608",No-government-financing language and non-platform-list disclosure at issuer level,Municipal construction group continues land preparation代建保障房 public utility and fiscal代建 receivable functions,Functional transfer
expand_js_huaian_touzi,Huai'an,doc_js_huaian_touzi_2026_scp3_007 lines 1039-1040;1052-1058;1065;1252;4712-4732;4765-4767;4866-4867,"2026 SCP disclosure, lines 1039-1040;1052-1058;1065;1252;4712-4732;4765-4767;4866-4867",Prospectus disclosures state that the issuer entered the CBRC financing-platform list in 2010 and was transferred out of that list on June 13 2011; later disclosures also state that the issuer does not undertake government financing functions after January 1 2015.,"This is a direct formal exit-list case, but the same issuer continues water infrastructure, municipal infrastructure, land development, affordable housing, delegated construction, fiscal settlement, finance-bureau repayment, government buyback, and public-project functions. The formal list exit therefore did not remove the issuer from local public-development finance.",Nominal exit
sch_20260630_0151,Shijiazhuang,doc_sch_20260630_0151_001 lines 950-1006;1058-1130,"0151 source document, lines 950-1006;1058-1130","The 2026 prospectus states that the issuer does not undertake government financing functions, that new debt after January 1 2015 is not local-government debt, and that the Shijiazhuang Finance Bureau was consulted on the absence of new government or hidden debt.","Official no-government-financing and no-hidden-debt language coexists with continuing evidence that the same issuer and its subsidiaries plan build finance and operate major Shijiazhuang expressway assets through PPP BOT concession debt toll-right pledges government subsidies project-capital support and state-asset injections. The formal institutional statement is clean, but the infrastructure finance function remains inside the municipal transport platform system.",Nominal exit
expand_hen_luoyang_chengxiang,Luoyang,doc_hen_luoyang_chengxiang_2026_cp2_010 lines 35;765;1336;1384-1395;3212;3469;4663;5328-5329;5386;6000;6068;6207,"2026 source document, lines 35;765;1336;1384-1395;3212;3469;4663;5328-5329;5386;6000;6068;6207","Prospectus states that the issuer has stripped government financing functions, has transformed into a self-operating and self-risk-bearing marketized entity, and does not undertake government financing functions after January 1 2015; issue proceeds will not increase government or hidden debt.","Formal marketization and government-financing-function stripping coexist with continuing municipal infrastructure, municipal public project, affordable-housing, land-consolidation, and government-related receivable evidence. The same issuer continues core public-development functions under compliant language, so the case is coded as nominal exit.",Nominal exit
sch_20260630_0155,Kunming,doc_sch_20260630_0155_003 lines 216-234;243-246;1047-1058;1335-1354;1418-1425;9973-9985;10005-10013;10392-10417;10693-10697,"0155 source document, lines 216-234;243-246;1047-1058;1335-1354;1418-1425;9973-9985;10005-10013;10392-10417;10693-10697",Prospectus disclosures state that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; the local state acts only as shareholder with limited liability.,"Formal no-government-financing and no-local-government-debt language coexists with continuing transportation infrastructure investment, government-authorized land development, legacy BT repayment, PPP participation, government-related receivables, and project funds linked to municipal transportation construction. The same issuer remains the relevant public-development vehicle after the formal compliance event.",Nominal exit
expand_hb_huangshi_chengfa,Huangshi,doc_hb_huangshi_chengfa_2026_cp8_001 lines 638-676;1136-1166;1248-1265;1290-1332;12340-12430,"2026 source document, lines 638-676;1136-1166;1248-1265;1290-1332;12340-12430",Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; the same issue also states that proceeds will not increase government or hidden debt and will not be directly repaid by fiscal funds.,"Formal debt-compliance language coexists with continuing infrastructure investment, land development and整理, entrusted construction, public-housing and PPP/BOT activity, large government fiscal inflows, and payables to finance bureaus. The disclosed functions remain inside the issuer group, so this is coded as nominal exit rather than substantive exit or a clear functional transfer.",Nominal exit
pilot_hn_004,Hengyang,doc_hn_hy_chengtou_2026_mtn2_prospectus lines 3465-3472,"2026 prospectus, lines 3465-3472",2011 exit 2012 re-entry and 2020 formal transfer out of CBIRC platform management,委托代建 project financing government settlement land preparation infrastructure保障房 fiscal subsidy evidence,Nominal exit
expand_hb_jingmen_chengtou,Jingmen,doc_hb_jingmen_chengtou_2026_cp1_002 lines 1255-1269;1365-1367;1393-1422;1432-1435;2364-2377;2406-2408;2558-2568,"2026 source document, lines 1255-1269;1365-1367;1393-1422;1432-1435;2364-2377;2406-2408;2558-2568",Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions after January 1 2015 and that new debt does not constitute local-government debt or hidden debt.,"No-government-financing and no-hidden-debt language coexists with continuing infrastructure construction, affordable housing, government purchase service, PPP-related investment, entrusted construction, fiscal-budget repayment, finance-bureau project receivables, and subsidies. The same issuer remains the public-project vehicle, so the case is coded as nominal exit.",Nominal exit
pilot_sd_002,Qingdao,doc_sd_qd_chengtou_2026_mtn2_001 lines 1297-1324;2187-2194,"2026 MTN disclosure, lines 1297-1324;2187-2194",2015 no-government-financing language and 2014 market-oriented reform language,land development urban renewal delegated project management and policy-loan administration continued,Nominal exit
expand_sd_linyi_chengtou,Linyi,doc_sd_linyi_chengtou_2026_cp2_004 lines 939-945;1058-1078;4631-4650;5335-5339;5440-5459,"2026 source document, lines 939-945;1058-1078;4631-4650;5335-5339;5440-5459",Prospectus states that the government gradually stripped the issuer's government financing function and that debts requiring government responsibility were replaced or arranged; the issue also states that it will not increase government or hidden debt and will not be directly repaid by fiscal funds.,"Formal government-financing-function stripping and no-hidden-debt language coexist with continuing urban-rural development, infrastructure construction, affordable-housing or shantytown-related functions, government receivables, fiscal subsidy accounting, and public-resource state-asset operation. The same issuer remains central to the public-development system, so the exit is coded as nominal exit.",Nominal exit
pilot_sc_003,Luzhou,doc_sc_lz_xinglu_2023_mtn1_007;doc_sc_lz_xinglu_2018_mtn1_prospectus lines 902-908;2770-2817,"2023 prospectus, lines 902-908;2770-2817",2018 and 2023 no-government-financing language and post-2015 debt-separation language,2015 baseline plus 2018 and 2023 evidence shows infrastructure investment-financing entrusted construction fiscal receivables and project repurchase,Nominal exit
pilot_hn_002,Zhuzhou,doc_hn_zz_guotou_2026_scp1_003 lines 4558-4575;4656-4665;3888-3907;4488-4499;4677-4688,"2026 SCP disclosure, lines 4558-4575;4656-4665;3888-3907;4488-4499;4677-4688",explicit March 2013 exit from platform list,land preparation major project and fiscal-settlement functions continued,Nominal exit
expand_ah_luan_chengtou,Lu'an,doc_ah_luan_chengtou_2026_scp3_001 lines 166;3276-3285;3292-3335;3357-3364;3879-3896;4355-4360;4378-4382;4457-4462;4887-4897;5067-5100;5670,"2026 SCP disclosure, lines 166;3276-3285;3292-3335;3357-3364;3879-3896;4355-4360;4378-4382;4457-4462;4887-4897;5067-5100;5670",Legal opinion states that after the post-2012 policy shift the issuer no longer participates in BT projects and does not undertake government financing functions; current issuance documents also state that the issue will not increase government or hidden debt.,"Formal no-BT and no-government-financing language coexists with continuing entrusted construction, infrastructure, affordable housing, PPP, fiscal payment, government receivables, special payables for construction funds, and fiscal subsidies. The public-development function remains inside the same issuer.",Nominal exit
expand_ah_suzhou_chengtou,Suzhou,doc_ah_suzhou_chengtou_2026_mtn3_005 lines 803-816;860-878;4506-4523;4555-4593;8024-8038;8834-8865,"2026 MTN disclosure, lines 803-816;860-878;4506-4523;4555-4593;8024-8038;8834-8865",Prospectus states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; a separate compliance section says the issuer rectified and standardized the stripping of government financing functions and does not undertake land-reserve functions.,"Formal debt-compliance language coexists with continuing infrastructure construction, land-leveling, affordable-housing, entrusted-construction, fiscal-settlement, government-subsidy, and future public-development functions inside the same issuer. The documents do not show a clean relocation of these functions, so the institutional change is coded as nominal exit.",Nominal exit
expand_hn_yiyang_jiaotou,Yiyang,doc_hn_yiyang_jiaotou_2026_mtn1_004 lines 23;1100;1108-1118;1134-1143;1184-1185;1877-1884;2027-2044;2614-2622;2664-2669;3272-3273;3471-3472;5192-5193;5240-5245,"2026 MTN disclosure, lines 23;1100;1108-1118;1134-1143;1184-1185;1877-1884;2027-2044;2614-2622;2664-2669;3272-3273;3471-3472;5192-5193;5240-5245",Prospectus disclosures state that the issuer stripped government financing functions and transformed into a marketized self-operating entity; a 2019 city-level platform transformation plan transferred the shareholder from the Finance Bureau to SASAC.,"Marketization and government-financing-function stripping coexist with continuing transport infrastructure, road and bridge buyback receivables, delegated construction, finance-bureau repayment, fiscal-funded BT legacy projects, government receivables, fiscal subsidies, and city-level infrastructure operation. The same issuer remains central to public project construction, so the exit is coded as nominal exit.",Nominal exit
expand_sc_leshan_guozi,Leshan,doc_sc_leshan_guozi_2026_scp2_004 lines 813-818;1151-1153;1164-1175;1184-1185;3601-3653,"2026 SCP disclosure, lines 813-818;1151-1153;1164-1175;1184-1185;3601-3653",Prospectus disclosures state that the issuer was transferred out of the local government financing platform customer list by a 2011 Sichuan CBRC notice and was managed as a rectified general-company loan customer; later disclosures state that it does not undertake government financing functions after January 1 2015.,"This is a direct formal transfer-out case, but the same issuer remains Leshan's most important infrastructure and state-asset management body and continues municipal infrastructure, affordable housing, transport infrastructure, land development, entrusted construction, government purchase service, PPP projects, government receivables, and subsidy-dependent operations. The formal exit therefore did not remove the issuer from public-development finance.",Nominal exit
pilot_js_004,Xuzhou,doc_js_xz_xinsheng_2026_mtn6_prospectus lines 1395-1398,"2026 prospectus, lines 1395-1398",2015 no-government-financing language,棚户区改造市政水利设施配套土地整理政府购买服务委托代建 and fiscal subsidies,Nominal exit
sch_20260630_0027,Bozhou,doc_sch_20260630_0027_003 lines 970-986;1121-1161;2078-2117;2292-2305;2333-2368;2428-2435;3468-3481;10032-10036;10245-10259;10287-10324;19362-19368;22136-22172;22303-22330,"0027 source document, lines 970-986;1121-1161;2078-2117;2292-2305;2333-2368;2428-2435;3468-3481;10032-10036;10245-10259;10287-10324;19362-19368;22136-22172;22303-22330",Prospectus and legal-opinion disclosures state that the issuer does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; the local state acts only as shareholder with limited liability.,"Formal no-government-financing and no-local-government-debt language coexists with continuing land development, agency construction, government purchase service, fiscal settlement, government receivables, and subsidy-backed public-development functions. The same issuer group remains tied to Bozhou public investment after the formal compliance event.",Nominal exit
pilot_js_003,Yancheng,doc_js_yc_chengzi_2025_mtn2_prospectus lines 928-929,"2025 prospectus, lines 928-929",2015 no-government-financing language,land preparation infrastructure委托建设 and保障性安居 work,Nominal exit
expand_js_yancheng_chengnan,Yancheng,doc_js_yancheng_chengnan_2026_mtn2_003 lines 3098-3192;3988-4096;5260-5270,"2026 MTN disclosure, lines 3098-3192;3988-4096;5260-5270",Legal opinion states that the company does not undertake government financing functions and that new debt after January 1 2015 is not local-government debt; it also states that proceeds will not increase government or hidden debt and will not be directly repaid by fiscal funds.,"The legal opinion provides strong compliance language and a negative list, but the source packet also shows continuing land development, infrastructure construction, government entrusted construction, fiscal project settlement, and infrastructure repayment cycles. Since these functions remain inside the issuer, the case is coded as nominal exit.",Nominal exit
expand_hlj_harbin_chengtou,Harbin,doc_hlj_hrb_chengtou_2026_mtn1_003 lines 4156-4162;4165-4178;4191-4195,"2026 MTN disclosure, lines 4156-4162;4165-4178;4191-4195",Prospectus states that the issuer was in the CBIRC full-caliber local-government financing-platform list at the end of 2018 and that on January 2 2019 the Heilongjiang CBIRC office changed its platform category from still-managed-as-platform to exit category.,"The issuer has unusually direct formal-exit evidence: the prospectus reports a January 2019 move from still-managed-as-platform to exit category. Yet the same source continues to show infrastructure, affordable housing, PPP, entrusted-construction, government-receivable, and legacy project-development functions. The case is therefore coded as nominal exit rather than substantive disappearance.",Nominal exit
